,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos
5315,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 03:00:00+02:00,0.0,0.0,0,0.7071067811865475,0.7071067811865476,0.0,1.0
5316,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 04:00:00+02:00,1.0,0.37,0,0.8660254037844386,0.5000000000000001,0.0,1.0
5317,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 05:00:00+02:00,8.0,2.73,0,0.9659258262890683,0.25881904510252074,0.0,1.0
5318,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 06:00:00+02:00,19.0,5.273333333333333,0,1.0,6.123233995736766e-17,0.0,1.0
5319,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 07:00:00+02:00,23.0,2.516666666666667,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
5320,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 08:00:00+02:00,39.0,5.13,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
5321,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 09:00:00+02:00,61.0,8.0225,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
8809,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 10:00:00+02:00,59.0,8.72,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
5322,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 11:00:00+02:00,82.0,11.3,0,0.258819045102521,-0.9659258262890682,0.0,1.0
5323,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 12:00:00+02:00,71.0,12.56,0,1.2246467991473532e-16,-1.0,0.0,1.0
5324,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 13:00:00+02:00,60.0,12.9275,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
5325,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 14:00:00+02:00,67.0,8.023333333333333,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
5326,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 15:00:00+02:00,50.0,9.605,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
5327,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 16:00:00+02:00,47.0,12.013333333333334,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
5328,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 17:00:00+02:00,73.0,8.02,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
5329,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 18:00:00+02:00,70.0,13.1275,0,-1.0,-1.8369701987210297e-16,0.0,1.0
5330,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 19:00:00+02:00,61.0,12.3425,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
5331,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 20:00:00+02:00,46.0,8.515,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
5332,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 21:00:00+02:00,38.0,7.776666666666666,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
5333,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 22:00:00+02:00,13.0,5.86,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
5334,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-06-30 23:00:00+02:00,4.0,8.34,0,-0.25881904510252157,0.9659258262890681,0.0,1.0
5335,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 00:00:00+02:00,10.0,9.323333333333332,1,0.0,1.0,0.7818314824680298,0.6234898018587336
5336,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 01:00:00+02:00,2.0,0.27,1,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
8810,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 02:00:00+02:00,1.0,0.135,1,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
5337,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 03:00:00+02:00,0.0,0.0,1,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336
5338,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 04:00:00+02:00,2.0,1.6433333333333333,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
5339,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 05:00:00+02:00,14.0,4.04,1,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
5340,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 06:00:00+02:00,20.0,3.9050000000000002,1,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
5341,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 07:00:00+02:00,27.0,4.1066666666666665,1,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
5342,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 08:00:00+02:00,42.0,4.833333333333333,1,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
5343,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 09:00:00+02:00,47.0,7.1274999999999995,1,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
5344,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 10:00:00+02:00,62.0,7.359999999999999,1,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
5345,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 11:00:00+02:00,66.0,6.75,1,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
5346,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 12:00:00+02:00,47.0,8.96,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
5347,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 13:00:00+02:00,40.0,9.5825,1,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
5348,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 14:00:00+02:00,43.0,13.995000000000001,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
5349,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 15:00:00+02:00,55.0,12.043333333333331,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
5350,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 16:00:00+02:00,59.0,12.696666666666667,1,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
5351,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 17:00:00+02:00,59.0,10.56,1,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
5352,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 18:00:00+02:00,44.0,9.4025,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
5353,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 19:00:00+02:00,30.0,13.6925,1,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336
5354,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 20:00:00+02:00,41.0,10.290000000000001,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
5355,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 21:00:00+02:00,25.0,9.299999999999999,1,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
8811,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 22:00:00+02:00,15.0,8.12,1,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
8812,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-01 23:00:00+02:00,10.0,7.529999999999999,1,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
5356,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 00:00:00+02:00,6.0,6.94,2,0.0,1.0,0.9749279121818236,-0.22252093395631434
8813,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 01:00:00+02:00,3.0,3.47,2,0.0,1.0,0.9749279121818236,-0.22252093395631434
8814,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 02:00:00+02:00,1.0,1.735,2,0.0,1.0,0.9749279121818236,-0.22252093395631434
5357,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 03:00:00+02:00,0.0,0.0,2,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434
5358,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 04:00:00+02:00,1.0,1.07,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
5359,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 05:00:00+02:00,8.0,9.9175,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
5360,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 06:00:00+02:00,17.0,5.99,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
5361,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 07:00:00+02:00,18.0,6.2125,2,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
5362,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 08:00:00+02:00,41.0,6.675,2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
5363,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 09:00:00+02:00,50.0,9.395,2,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
5364,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 10:00:00+02:00,49.0,11.1,2,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
5365,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 11:00:00+02:00,57.0,8.34,2,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434
5366,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 12:00:00+02:00,40.0,9.36,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
5367,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 13:00:00+02:00,31.0,9.396666666666667,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434
5368,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 14:00:00+02:00,42.0,7.800000000000001,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
5369,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 15:00:00+02:00,45.0,8.8275,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434
5370,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 16:00:00+02:00,40.0,11.69,2,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
5371,Kurpark - Eingang Kolonnaden,dd520fc1-e6de-4f55-b6d8-508373be5330,2025-07-02 17:00:00+02:00,37.0,13.615,2,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
