,actual,predicted
240,[64.],[44.66961]
241,[82.],[65.690834]
242,[12.],[3.211082]
243,[2.],[2.3135638]
244,[124.],[99.74701]
245,[21.],[15.587202]
246,[17.],[26.8417]
247,[0.],[3.5665102]
248,[10.],[3.6810102]
249,[40.],[48.345413]
250,[34.],[24.022131]
251,[4.],[4.172292]
252,[1.],[2.3059242]
253,[0.],[2.313495]
254,[0.],[93.17932]
255,[33.],[26.775213]
256,[7.],[2.8826072]
257,[20.],[41.166447]
258,[69.],[47.9026]
259,[1.],[3.766142]
260,[26.],[13.315922]
261,[5.],[4.580206]
262,[26.],[21.488297]
263,[78.],[39.218014]
264,[47.],[20.499386]
265,[32.],[29.211094]
266,[20.],[51.092327]
267,[4.],[2.6953611]
268,[20.],[13.997414]
269,[2.],[2.2981606]
270,[4.],[9.803917]
271,[30.],[21.591576]
272,[5.],[4.521989]
273,[52.],[35.354538]
274,[430.],[427.15692]
275,[49.],[52.293915]
276,[0.],[2.9399753]
277,[20.],[18.506409]
278,[136.],[123.65412]
279,[6.],[4.2602186]
280,[12.],[37.065987]
281,[20.],[26.400688]
282,[6.],[15.439633]
283,[1.],[2.6970243]
284,[23.],[20.297403]
285,[79.],[60.73906]
286,[3.],[12.250429]
287,[8.],[7.222498]
288,[38.],[63.031895]
289,[19.],[27.772991]
290,[40.],[36.916435]
291,[34.],[22.311325]
292,[4.],[4.680335]
293,[119.],[99.26573]
294,[32.],[44.96353]
295,[146.],[147.51978]
296,[70.],[76.62668]
297,[31.],[28.534748]
298,[16.],[47.531727]
299,[2.],[5.359332]
300,[8.],[6.6859856]
301,[0.],[2.3044674]
302,[8.],[4.236902]
303,[20.],[30.178633]
304,[12.],[2.6514053]
305,[17.],[17.65857]
306,[1.],[2.291409]
307,[6.],[6.5444593]
308,[80.],[64.044846]
309,[41.],[45.51097]
310,[41.],[55.267494]
311,[36.],[31.265842]
312,[26.],[17.210056]
313,[2.],[4.081261]
314,[3.],[5.8990297]
315,[0.],[3.1417403]
316,[101.],[201.89774]
317,[3.],[3.7235446]
318,[3.],[3.2993484]
319,[1.],[8.77959]
320,[94.],[74.4793]
321,[3.],[2.8802662]
322,[290.],[273.44147]
323,[15.],[12.333954]
324,[49.],[39.07941]
325,[5.],[6.635044]
326,[17.],[20.770363]
327,[3.],[5.2331777]
328,[105.],[129.97557]
329,[37.],[37.13227]
330,[227.],[409.80792]
331,[9.],[3.9914927]
332,[65.],[60.497086]
333,[4.],[8.601329]
334,[24.],[23.372156]
335,[479.],[403.7948]
336,[20.],[20.484772]
337,[8.],[15.284859]
338,[0.],[4.1048493]
339,[9.],[6.901244]
340,[4.],[3.3361611]
341,[15.],[12.93058]
342,[23.],[19.047596]
343,[17.],[5.410432]
344,[45.],[62.90194]
345,[32.],[24.249634]
346,[13.],[19.663319]
347,[64.],[70.78798]
348,[24.],[24.148872]
349,[103.],[125.18724]
350,[10.],[9.615782]
351,[11.],[7.3401003]
352,[20.],[23.67591]
353,[4.],[2.4182546]
354,[112.],[87.97743]
355,[28.],[36.041077]
356,[1.],[3.3519213]
357,[6.],[3.217292]
358,[2.],[3.891591]
359,[15.],[13.140953]
360,[89.],[61.388763]
361,[53.],[75.0639]
362,[448.],[388.65637]
363,[23.],[23.686005]
364,[10.],[13.423261]
365,[122.],[121.69006]
366,[36.],[31.49971]
367,[96.],[81.8576]
