,actual,predicted
1052,[7.],[5.419221]
1053,[106.],[128.59796]
1054,[3.],[11.781755]
1055,[24.],[20.958649]
1056,[5.],[2.3090541]
1057,[20.],[20.358982]
1058,[6.],[5.360217]
1059,[8.],[11.652958]
1060,[10.],[13.729998]
1061,[4.],[2.275856]
1062,[5.],[4.5711975]
1063,[26.],[13.078289]
1064,[16.],[30.481249]
1065,[2.],[6.161816]
1066,[46.],[45.594093]
1067,[11.],[12.478478]
1068,[212.],[232.95238]
1069,[54.],[55.17852]
1070,[92.],[87.32029]
1071,[3.],[2.4806232]
1072,[51.],[41.840935]
1073,[7.],[5.554982]
1074,[2.],[3.5974903]
1075,[144.],[161.63936]
1076,[18.],[13.928244]
1077,[1.],[5.423227]
1078,[132.],[72.83194]
1079,[125.],[112.27449]
1080,[307.],[374.2596]
1081,[9.],[7.3236237]
1082,[30.],[24.472963]
1083,[18.],[10.5493555]
1084,[14.],[15.189725]
1085,[19.],[21.049603]
1086,[14.],[16.642448]
1087,[23.],[12.875755]
1088,[1.],[6.2745857]
1089,[1.],[2.288333]
1090,[0.],[2.2883325]
1091,[28.],[17.610222]
1092,[46.],[48.7987]
1093,[168.],[204.649]
1094,[5.],[4.356649]
1095,[36.],[19.24873]
1096,[610.],[442.23145]
1097,[125.],[154.30197]
1098,[63.],[52.452633]
1099,[16.],[18.081768]
1100,[6.],[3.4338007]
1101,[6.],[7.194132]
1102,[32.],[38.034485]
1103,[46.],[32.22684]
1104,[57.],[61.114212]
1105,[31.],[23.511703]
1106,[29.],[24.499905]
1107,[115.],[155.57043]
1108,[45.],[51.492294]
1109,[6.],[13.368414]
1110,[170.],[121.77109]
1111,[2.],[8.656423]
1112,[6.],[2.2563856]
1113,[68.],[51.747402]
1114,[2.],[3.9811087]
1115,[12.],[9.77579]
1116,[19.],[22.720922]
1117,[150.],[165.1175]
1118,[92.],[52.420982]
1119,[47.],[46.566727]
1120,[24.],[12.562008]
1121,[1.],[4.201707]
1122,[74.],[67.51866]
1123,[150.],[56.88787]
1124,[0.],[2.3374217]
1125,[55.],[97.34183]
1126,[8.],[16.569193]
1127,[1.],[3.3861814]
1128,[9.],[11.021472]
1129,[107.],[84.353714]
1130,[15.],[16.150183]
1131,[46.],[58.646355]
1132,[41.],[33.36158]
1133,[7.],[9.419284]
1134,[16.],[10.622387]
1135,[72.],[55.367065]
1136,[8.],[23.846062]
1137,[82.],[132.7255]
1138,[183.],[154.30212]
1139,[2.],[3.01754]
1140,[1.],[3.3115377]
1141,[20.],[21.587303]
1142,[0.],[2.2643995]
1143,[4.],[7.1070204]
1144,[0.],[2.3888962]
1145,[18.],[32.073425]
1146,[18.],[12.203744]
1147,[16.],[14.303831]
1148,[35.],[40.19236]
1149,[32.],[92.982315]
1150,[2.],[11.685893]
1151,[47.],[27.976822]
1152,[6.],[6.7111807]
1153,[33.],[54.874245]
1154,[24.],[14.045317]
1155,[88.],[95.37517]
1156,[194.],[190.38055]
1157,[47.],[58.70414]
1158,[3.],[6.5715685]
1159,[8.],[5.7821703]
1160,[28.],[39.300766]
1161,[0.],[2.3267148]
1162,[5.],[2.4777493]
1163,[36.],[42.896805]
1164,[119.],[113.27721]
1165,[2.],[3.0466993]
1166,[35.],[65.17293]
1167,[0.],[2.3233483]
1168,[12.],[17.500765]
1169,[1.],[3.6243694]
1170,[77.],[77.34612]
1171,[57.],[54.590836]
1172,[1.],[3.2414806]
1173,[2.],[3.2686486]
1174,[36.],[30.659506]
1175,[50.],[63.839848]
1176,[0.],[2.5634532]
1177,[10.],[15.206257]
1178,[336.],[378.25354]
1179,[31.],[32.215668]
1180,[9.],[6.6045914]
1181,[8.],[9.907803]
1182,[23.],[25.725235]
1183,[3.],[2.281896]
1184,[2.],[3.471849]
1185,[0.],[3.1517158]
1186,[58.],[69.9257]
1187,[3.],[3.2382927]
1188,[91.],[107.55575]
1189,[1.],[7.3653955]
1190,[150.],[56.80813]
1191,[3.],[10.612724]
1192,[0.],[2.3033273]
1193,[9.],[9.365221]
1194,[102.],[131.86996]
1195,[0.],[3.1844509]
1196,[35.],[46.5532]
1197,[52.],[73.65115]
1198,[96.],[75.3842]
1199,[47.],[51.8111]
1200,[4.],[2.511474]
1201,[51.],[55.416267]
1202,[31.],[30.164803]
1203,[84.],[79.05266]
1204,[4.],[6.065474]
1205,[2.],[3.3069167]
1206,[0.],[5.691267]
1207,[75.],[87.20517]
1208,[288.],[244.5469]
1209,[8.],[7.9210014]
1210,[15.],[24.515583]
1211,[3.],[2.8614142]
1212,[0.],[3.3506598]
1213,[3.],[3.0442498]
1214,[21.],[81.32774]
1215,[16.],[31.424511]
1216,[8.],[11.353176]
1217,[24.],[26.35052]
1218,[51.],[63.203506]
1219,[47.],[53.871662]
1220,[4.],[4.3538823]
1221,[6.],[4.4182267]
1222,[3.],[5.4830976]
1223,[3.],[2.3751247]
1224,[8.],[10.188935]
1225,[20.],[22.01008]
1226,[9.],[8.290208]
1227,[62.],[75.590485]
1228,[23.],[18.51841]
1229,[0.],[2.3475873]
1230,[89.],[99.26584]
1231,[103.],[123.45583]
1232,[34.],[19.146095]
1233,[1.],[2.3561778]
1234,[30.],[37.25774]
1235,[161.],[171.32764]
1236,[14.],[13.997704]
1237,[18.],[25.798393]
1238,[29.],[41.099106]
1239,[68.],[103.09156]
1240,[19.],[15.44714]
1241,[19.],[20.191034]
1242,[71.],[69.91991]
1243,[0.],[3.6835554]
1244,[43.],[46.03485]
1245,[10.],[7.7737265]
1246,[63.],[67.054146]
1247,[116.],[148.9181]
1248,[21.],[35.091835]
1249,[3.],[5.980859]
1250,[47.],[27.414768]
1251,[28.],[26.356182]
1252,[3.],[3.6999035]
1253,[15.],[13.064522]
1254,[71.],[77.95254]
1255,[20.],[42.02705]
1256,[6.],[5.1246557]
1257,[13.],[23.891869]
1258,[14.],[16.72946]
1259,[520.],[513.63666]
1260,[22.],[17.09928]
1261,[6.],[5.5993586]
1262,[30.],[32.149662]
1263,[8.],[7.1745453]
1264,[4.],[8.377091]
1265,[7.],[5.4839487]
1266,[4.],[3.5059862]
1267,[20.],[27.007618]
1268,[16.],[19.229296]
1269,[10.],[12.305199]
1270,[11.],[15.918016]
1271,[10.],[15.427719]
1272,[168.],[232.30878]
1273,[4.],[15.718581]
1274,[178.],[165.88757]
1275,[6.],[4.1293306]
1276,[30.],[37.53009]
1277,[10.],[6.1488695]
1278,[9.],[8.578283]
1279,[26.],[20.892561]
1280,[2.],[2.2497404]
1281,[9.],[10.663188]
1282,[12.],[5.969732]
1283,[25.],[36.10988]
1284,[20.],[38.4233]
1285,[62.],[83.63968]
1286,[1.],[2.3029962]
1287,[22.],[39.678097]
1288,[13.],[34.574028]
1289,[6.],[3.2821622]
1290,[21.],[14.2450485]
1291,[5.],[9.321256]
1292,[16.],[15.472623]
1293,[67.],[74.74784]
1294,[81.],[89.782135]
1295,[4.],[2.274043]
1296,[34.],[20.756805]
1297,[4.],[19.144976]
1298,[30.],[47.822594]
1299,[104.],[117.05327]
1300,[18.],[31.305447]
1301,[6.],[2.8742733]
1302,[77.],[91.995636]
1303,[2.],[2.3548748]
1304,[62.],[56.15249]
1305,[5.],[7.672922]
1306,[64.],[54.90654]
1307,[6.],[3.9122312]
1308,[1.],[4.116459]
1309,[21.],[3.1045003]
1310,[1.],[3.8990805]
1311,[151.],[199.52057]
1312,[3.],[15.841094]
1313,[2.],[4.654525]
1314,[34.],[42.26934]
1315,[98.],[116.89409]
1316,[3.],[2.3135438]
1317,[332.],[436.1243]
1318,[30.],[46.23111]
1319,[106.],[76.54765]
1320,[14.],[27.908985]
1321,[28.],[42.689743]
1322,[11.],[14.997252]
1323,[13.],[2.3879976]
1324,[29.],[46.198227]
1325,[3.],[4.8111725]
1326,[9.],[18.091448]
1327,[2.],[3.6650543]
1328,[3.],[2.920494]
1329,[40.],[56.549]
1330,[45.],[37.56614]
1331,[26.],[41.7269]
1332,[0.],[9.7212105]
1333,[13.],[16.478437]
1334,[44.],[71.592674]
1335,[64.],[63.41979]
1336,[9.],[15.038992]
1337,[15.],[40.182484]
1338,[51.],[47.750824]
1339,[32.],[32.23111]
1340,[4.],[7.700382]
1341,[10.],[6.2357993]
1342,[5.],[5.937338]
1343,[1.],[4.143641]
1344,[41.],[28.544418]
1345,[80.],[52.28988]
1346,[32.],[43.610962]
1347,[175.],[147.51398]
1348,[0.],[2.9950128]
1349,[56.],[141.30331]
1350,[13.],[10.682236]
1351,[3.],[2.6868024]
1352,[12.],[14.500555]
1353,[23.],[23.698782]
1354,[78.],[118.537964]
1355,[50.],[50.64965]
1356,[45.],[59.925545]
1357,[5.],[5.153471]
1358,[61.],[95.7134]
1359,[8.],[4.7641706]
1360,[71.],[58.83192]
1361,[478.],[336.95746]
1362,[1.],[2.8336763]
1363,[71.],[101.07405]
1364,[6.],[8.604949]
1365,[2.],[4.2210903]
1366,[0.],[4.616946]
1367,[32.],[27.628374]
1368,[244.],[215.46906]
1369,[18.],[18.05827]
1370,[114.],[70.70175]
1371,[94.],[49.32352]
1372,[28.],[20.188457]
1373,[8.],[11.384989]
1374,[54.],[25.461384]
1375,[1.],[4.061554]
1376,[4.],[5.087432]
1377,[13.],[13.987049]
1378,[6.],[19.509048]
1379,[1.],[3.1545205]
1380,[136.],[121.32048]
1381,[120.],[136.89772]
1382,[12.],[8.17095]
1383,[76.],[74.511826]
1384,[4.],[2.9802356]
1385,[34.],[80.22664]
1386,[19.],[6.586609]
1387,[1.],[2.2776573]
1388,[1.],[2.2666624]
1389,[64.],[56.027172]
1390,[0.],[2.29017]
1391,[14.],[17.539928]
1392,[8.],[3.6460469]
1393,[73.],[93.934204]
1394,[3.],[11.372629]
1395,[4.],[4.801387]
1396,[48.],[21.183285]
1397,[95.],[85.83208]
1398,[72.],[81.839966]
1399,[55.],[40.142982]
1400,[22.],[23.360048]
1401,[17.],[25.982937]
1402,[15.],[37.308807]
1403,[2.],[2.3009505]
1404,[95.],[130.34305]
1405,[74.],[89.41522]
1406,[100.],[11.5576105]
1407,[59.],[64.31853]
1408,[4.],[7.2994432]
1409,[43.],[38.086773]
1410,[6.],[7.7653885]
1411,[418.],[396.48257]
1412,[7.],[6.6172037]
1413,[7.],[6.8937855]
1414,[74.],[67.93389]
1415,[180.],[159.03836]
1416,[0.],[3.0356593]
1417,[28.],[27.806007]
1418,[0.],[3.9002876]
1419,[22.],[13.588965]
1420,[15.],[31.02415]
1421,[0.],[53.614033]
1422,[1.],[2.285996]
1423,[38.],[50.89601]
1424,[26.],[22.856709]
1425,[15.],[10.527388]
1426,[11.],[15.041197]
1427,[8.],[13.955223]
1428,[28.],[18.741554]
1429,[2.],[3.2819629]
1430,[62.],[68.95351]
1431,[19.],[14.961982]
1432,[2.],[6.8269386]
1433,[100.],[116.977325]
1434,[16.],[9.759123]
1435,[14.],[4.7402916]
1436,[18.],[23.719631]
1437,[26.],[20.562233]
1438,[5.],[8.1414585]
1439,[89.],[92.088104]
1440,[2.],[2.3288782]
1441,[16.],[20.867916]
1442,[36.],[44.268593]
1443,[35.],[14.221359]
1444,[1.],[3.5732956]
1445,[1.],[2.270489]
1446,[55.],[47.53208]
1447,[32.],[27.00557]
1448,[1.],[2.394321]
1449,[14.],[16.37039]
1450,[12.],[15.994946]
1451,[9.],[20.76543]
1452,[2.],[5.5377154]
1453,[16.],[40.32656]
1454,[8.],[8.026079]
1455,[54.],[61.087364]
1456,[11.],[22.06753]
1457,[25.],[24.639988]
1458,[21.],[43.26821]
1459,[16.],[13.851345]
1460,[227.],[225.94748]
1461,[30.],[72.144165]
1462,[1.],[2.2664056]
1463,[1.],[2.3004045]
1464,[6.],[3.2354913]
1465,[71.],[51.688873]
1466,[60.],[46.052544]
1467,[32.],[16.399662]
1468,[1.],[4.1528373]
1469,[31.],[27.942175]
1470,[10.],[5.38132]
1471,[86.],[84.05705]
1472,[26.],[22.778954]
1473,[72.],[87.908676]
1474,[0.],[2.3265646]
1475,[123.],[103.8672]
1476,[18.],[11.582973]
1477,[4.],[4.183315]
1478,[63.],[53.60244]
1479,[48.],[65.23777]
1480,[10.],[13.017063]
1481,[20.],[25.787329]
1482,[3.],[6.265124]
1483,[1.],[2.286013]
1484,[68.],[88.31099]
1485,[55.],[50.99392]
1486,[25.],[11.347633]
1487,[147.],[144.22485]
1488,[134.],[187.0299]
1489,[47.],[50.63113]
1490,[96.],[128.97801]
1491,[11.],[9.744747]
1492,[1.],[3.575735]
1493,[2.],[2.3339183]
1494,[27.],[42.300797]
1495,[107.],[137.43585]
1496,[53.],[44.92679]
1497,[0.],[2.4096222]
1498,[34.],[30.809464]
1499,[1.],[2.5997849]
1500,[143.],[191.53323]
1501,[64.],[77.73909]
1502,[15.],[11.593661]
1503,[64.],[40.816116]
1504,[4.],[3.082621]
1505,[114.],[109.006165]
1506,[22.],[43.589355]
1507,[4.],[19.300339]
1508,[17.],[13.53051]
1509,[9.],[14.342108]
1510,[21.],[28.458591]
1511,[1.],[2.8965127]
1512,[5.],[8.003535]
1513,[1.],[2.7460725]
1514,[8.],[2.2592885]
1515,[55.],[59.860924]
1516,[2.],[4.9174285]
1517,[61.],[66.928986]
1518,[53.],[59.20903]
1519,[37.],[36.9438]
1520,[6.],[20.847273]
1521,[15.],[27.527248]
1522,[54.],[69.542305]
1523,[5.],[5.562881]
1524,[2.],[12.541825]
1525,[3.],[2.383271]
1526,[4.],[8.3931675]
1527,[0.],[36.96092]
1528,[5.],[19.738155]
1529,[40.],[35.489918]
1530,[4.],[4.957634]
1531,[0.],[2.259452]
1532,[3.],[4.379716]
1533,[131.],[181.14899]
1534,[150.],[157.74518]
1535,[36.],[54.105366]
1536,[20.],[45.653664]
1537,[10.],[11.215362]
1538,[35.],[30.405188]
1539,[54.],[52.360397]
1540,[3.],[2.3100626]
1541,[30.],[20.750309]
1542,[5.],[6.7074223]
1543,[31.],[90.37564]
1544,[77.],[99.757]
1545,[0.],[2.3164146]
1546,[158.],[153.61243]
1547,[8.],[6.25418]
1548,[64.],[80.24331]
1549,[45.],[42.67431]
1550,[8.],[3.4277549]
1551,[11.],[19.729286]
1552,[19.],[145.97551]
1553,[136.],[175.46555]
1554,[98.],[108.615364]
1555,[8.],[10.312713]
1556,[24.],[56.561752]
1557,[2.],[7.9528494]
1558,[9.],[3.991324]
1559,[6.],[14.153416]
1560,[39.],[23.829483]
1561,[69.],[52.746796]
1562,[406.],[405.48956]
1563,[16.],[25.567307]
1564,[55.],[31.611666]
1565,[1.],[3.6460576]
1566,[32.],[36.922863]
1567,[0.],[3.2740593]
1568,[0.],[2.313592]
1569,[4.],[10.636122]
1570,[1.],[6.3051324]
1571,[7.],[2.1243966]
1572,[79.],[109.35388]
1573,[21.],[31.909878]
1574,[1.],[2.3170683]
1575,[2.],[8.610398]
1576,[16.],[17.487015]
1577,[115.],[72.488525]
1578,[156.],[105.13779]
1579,[21.],[9.895661]
1580,[8.],[14.369692]
1581,[32.],[37.550415]
1582,[37.],[33.321922]
1583,[1.],[3.249334]
1584,[1.],[2.2724621]
1585,[5.],[4.841914]
1586,[1.],[2.2821329]
1587,[100.],[120.72722]
1588,[46.],[42.719727]
1589,[11.],[12.198845]
1590,[29.],[23.565601]
1591,[0.],[2.2934315]
1592,[34.],[39.957703]
1593,[60.],[100.651535]
1594,[1.],[2.2914395]
1595,[10.],[6.459335]
1596,[48.],[61.100143]
1597,[4.],[8.137722]
1598,[21.],[11.665611]
1599,[132.],[135.43002]
1600,[3.],[4.298239]
1601,[0.],[2.3455648]
1602,[200.],[201.84094]
1603,[2.],[3.8649983]
1604,[101.],[136.1532]
1605,[159.],[126.83325]
1606,[17.],[24.992817]
1607,[30.],[23.920673]
1608,[7.],[7.0104256]
1609,[89.],[27.463547]
1610,[2.],[5.168639]
1611,[34.],[30.663029]
1612,[68.],[154.97205]
1613,[12.],[11.60899]
1614,[12.],[17.947289]
1615,[26.],[34.76622]
1616,[2.],[23.797447]
1617,[11.],[14.303338]
1618,[157.],[175.37128]
1619,[4.],[12.115984]
1620,[14.],[7.670191]
1621,[7.],[2.9713464]
1622,[7.],[7.4205923]
1623,[35.],[66.218124]
1624,[41.],[35.72497]
1625,[38.],[29.255413]
1626,[4.],[7.6922092]
1627,[85.],[168.21072]
1628,[2.],[3.3558238]
1629,[6.],[6.330535]
1630,[1.],[2.2911284]
1631,[30.],[23.682552]
1632,[12.],[7.282093]
1633,[4.],[5.544154]
1634,[72.],[103.36617]
1635,[2.],[2.2911036]
1636,[40.],[25.524216]
1637,[48.],[49.411026]
1638,[10.],[16.218548]
1639,[3.],[2.367996]
1640,[7.],[3.962726]
1641,[475.],[411.70514]
1642,[46.],[31.334637]
1643,[33.],[48.167023]
1644,[44.],[51.570168]
1645,[4.],[2.7433875]
1646,[2.],[2.287838]
1647,[36.],[52.70349]
1648,[168.],[154.22736]
1649,[94.],[128.74915]
1650,[25.],[27.552261]
1651,[9.],[5.1294365]
1652,[80.],[74.80681]
1653,[52.],[72.38818]
1654,[4.],[13.016982]
1655,[18.],[20.156338]
1656,[26.],[18.100054]
1657,[15.],[8.4246435]
1658,[92.],[69.958405]
1659,[2.],[6.6954556]
1660,[52.],[115.55308]
1661,[11.],[12.107574]
1662,[45.],[39.926018]
1663,[21.],[4.7486143]
1664,[46.],[54.840607]
1665,[4.],[10.551626]
1666,[32.],[45.03202]
1667,[16.],[12.193181]
1668,[3.],[2.4492831]
1669,[0.],[2.2480023]
1670,[1.],[5.5731]
1671,[0.],[2.4221764]
1672,[7.],[4.041378]
1673,[44.],[46.44433]
1674,[2.],[6.0237465]
1675,[157.],[121.12663]
1676,[32.],[42.508976]
1677,[32.],[51.205574]
1678,[2.],[7.895952]
1679,[12.],[17.834324]
1680,[1.],[2.2745192]
1681,[54.],[65.7333]
1682,[11.],[7.479018]
1683,[6.],[2.3980823]
1684,[32.],[24.580254]
1685,[38.],[42.68472]
1686,[10.],[11.054213]
1687,[11.],[6.817684]
1688,[1.],[2.296978]
1689,[6.],[4.149134]
1690,[54.],[36.00093]
1691,[3.],[2.3290174]
1692,[15.],[20.185707]
1693,[2.],[7.5973053]
1694,[12.],[8.825847]
1695,[104.],[60.739445]
1696,[4.],[13.533277]
1697,[74.],[61.216667]
1698,[2.],[2.2628229]
1699,[1.],[3.7046757]
1700,[3.],[12.184679]
1701,[15.],[15.312599]
1702,[4.],[3.8004405]
1703,[1.],[2.2405877]
1704,[66.],[50.86291]
1705,[60.],[52.06063]
1706,[44.],[61.68478]
1707,[3.],[2.968399]
1708,[62.],[99.659966]
1709,[1.],[2.3461156]
1710,[1.],[2.7971272]
1711,[149.],[120.01359]
1712,[15.],[12.689035]
1713,[1.],[2.3292022]
1714,[9.],[8.727046]
1715,[6.],[6.1428556]
1716,[3.],[4.3696365]
1717,[4.],[7.20358]
1718,[136.],[147.94528]
1719,[6.],[5.798129]
1720,[30.],[49.147694]
1721,[0.],[2.3373969]
1722,[3.],[3.7515707]
1723,[0.],[2.7335815]
1724,[6.],[4.219852]
1725,[16.],[9.423457]
1726,[0.],[2.302615]
1727,[10.],[4.915457]
1728,[3.],[2.57984]
1729,[9.],[23.3909]
1730,[5.],[4.0978856]
1731,[6.],[2.3384016]
1732,[116.],[128.70607]
1733,[64.],[55.9692]
1734,[20.],[10.814247]
1735,[4.],[5.6532893]
1736,[27.],[19.92558]
1737,[69.],[61.10635]
1738,[18.],[18.762989]
1739,[0.],[2.2771099]
1740,[16.],[13.836926]
1741,[18.],[20.902159]
