,visitors,name,avgDuration,timestamp,SID,weekday,hour_sin,hour_cos
0,7,Karlstraße 15,16.02,2025-06-30 01:00:00+00:00,d5261325-e40c-4ed4-bbbf-5ce24d3de844,0,0.25881904510252074,0.9659258262890683
1,1,Trafohaus Zanderstraße,28.22,2025-06-30 01:00:00+00:00,dc716491-cffe-4661-bbe4-333b581a6926,0,0.25881904510252074,0.9659258262890683
2,4,Friedrichstraße 11,6.61,2025-06-30 01:00:00+00:00,cca912bc-7296-42fe-a37c-6f19b2840556,0,0.25881904510252074,0.9659258262890683
3,2,Parkstraße 24,7.78,2025-06-30 01:00:00+00:00,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,0,0.25881904510252074,0.9659258262890683
4,9,Hauptstraße 36,19.97,2025-06-30 01:00:00+00:00,b8419dcf-9ac6-4dab-9a7b-8af4718b74e1,0,0.25881904510252074,0.9659258262890683
5,3,Parkstraße 4,3.14,2025-06-30 01:00:00+00:00,ee395b0b-5be7-4e62-b331-4207ba179629,0,0.25881904510252074,0.9659258262890683
6,3,Alicestraße 2,11.18,2025-06-30 01:00:00+00:00,d52b73da-cc5a-4e5d-83dd-3c028d3435ca,0,0.25881904510252074,0.9659258262890683
7,23,Innenstadt,28.46,2025-06-30 01:00:00+00:00,3cc1e766-97c5-4ed0-92c3-a800b5be8658,0,0.25881904510252074,0.9659258262890683
8,21,Innenstadt,14.1,2025-06-30 01:00:00+00:00,3cc1e766-97c5-4ed0-92c3-a800b5be8658,0,0.25881904510252074,0.9659258262890683
9,4,Schulstraße 6,7.11,2025-06-30 01:00:00+00:00,c294766d-4a58-496f-b00e-665dc626bdea,0,0.25881904510252074,0.9659258262890683
10,3,Friedrichstraße 11,1.76,2025-06-30 01:00:00+00:00,cca912bc-7296-42fe-a37c-6f19b2840556,0,0.25881904510252074,0.9659258262890683
11,2,Hauptstraße 8,10.03,2025-06-30 01:00:00+00:00,481da5b9-afd5-44c5-b29b-6c3e23a59bcb,0,0.25881904510252074,0.9659258262890683
12,4,Schulstraße 6,11.64,2025-06-30 01:00:00+00:00,c294766d-4a58-496f-b00e-665dc626bdea,0,0.25881904510252074,0.9659258262890683
13,8,Hauptstraße 36,43.03,2025-06-30 01:00:00+00:00,b8419dcf-9ac6-4dab-9a7b-8af4718b74e1,0,0.25881904510252074,0.9659258262890683
14,2,Kurstraße 7,4.06,2025-06-30 01:00:00+00:00,ee12f4cf-9fbe-4c2a-b3fb-7783a3d78355,0,0.25881904510252074,0.9659258262890683
15,0,Kurstraße 13,0.0,2025-06-30 01:00:00+00:00,e43beee4-de88-43f8-9c31-c3f0d5dc1451,0,0.25881904510252074,0.9659258262890683
16,2,Parkstraße 24,9.23,2025-06-30 01:00:00+00:00,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,0,0.25881904510252074,0.9659258262890683
17,5,Reinhardstraße 2,16.58,2025-06-30 01:00:00+00:00,db726d5d-f282-4977-ad4f-400853262062,0,0.25881904510252074,0.9659258262890683
18,0,Kurpark - Zentrum Süd,0.0,2025-06-30 01:00:00+00:00,d1a25cbb-e2d7-49d7-a75b-0e570b6d1e88,0,0.25881904510252074,0.9659258262890683
19,4,Reinhardstraße 2,5.14,2025-06-30 01:00:00+00:00,db726d5d-f282-4977-ad4f-400853262062,0,0.25881904510252074,0.9659258262890683
20,8,Hauptstraße 36,9.56,2025-06-30 01:00:00+00:00,b8419dcf-9ac6-4dab-9a7b-8af4718b74e1,0,0.25881904510252074,0.9659258262890683
21,8,Hauptstraße 36,9.74,2025-06-30 01:00:00+00:00,b8419dcf-9ac6-4dab-9a7b-8af4718b74e1,0,0.25881904510252074,0.9659258262890683
22,2,Kurstraße 7,19.05,2025-06-30 01:00:00+00:00,ee12f4cf-9fbe-4c2a-b3fb-7783a3d78355,0,0.25881904510252074,0.9659258262890683
23,5,Reinhardstraße 2,33.45,2025-06-30 01:00:00+00:00,db726d5d-f282-4977-ad4f-400853262062,0,0.25881904510252074,0.9659258262890683
