,SID,location,timestamp,point_error,anomaly
9085,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 17:00:00,0.1416290457509446,No
9086,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 18:00:00,0.07283152317500625,No
9087,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 19:00:00,0.025775908163466307,No
9088,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 20:00:00,0.001575531408117833,No
9089,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 21:00:00,0.010616814529113403,No
9090,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 22:00:00,0.026008835173977007,No
9091,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-01 23:00:00,0.0068013632961018465,No
9092,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 00:00:00,0.0019934406293942324,No
9093,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 01:00:00,0.011495762526177407,No
9094,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 02:00:00,0.010809105075205272,No
9095,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 03:00:00,0.01231128760598383,No
9096,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 04:00:00,0.004388440247490302,No
9097,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 05:00:00,0.011420975793180453,No
9098,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 06:00:00,0.21026053317679205,No
9099,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 07:00:00,0.08927290881431404,No
9100,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 08:00:00,0.276264218887956,No
9101,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 09:00:00,0.2597410793051892,No
9102,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 10:00:00,0.27875254844074554,No
9103,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 11:00:00,0.1175267179186114,No
9104,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 12:00:00,0.0052263243687790525,No
9105,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 13:00:00,0.174548117817786,No
9106,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 14:00:00,0.15696406859207052,No
9107,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 15:00:00,0.11595858533289653,No
9108,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 16:00:00,0.10984416596726639,No
9109,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 17:00:00,0.04629719612255236,No
9110,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 18:00:00,0.0353541901739771,No
9111,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 19:00:00,0.005892527866460659,No
9112,fdf97c35-96ee-44ef-8d7f-f8c48f9b4eb8,Parkstraße 24,2025-07-02 20:00:00,0.046699502467061615,No
