,timestamp,error,anomaly
0,2025-06-30 01:00:00+00:00,0.016804656,No
1,2025-06-30 02:00:00+00:00,0.008098496,No
2,2025-06-30 03:00:00+00:00,0.010751333,No
3,2025-06-30 04:00:00+00:00,0.046807516,No
4,2025-06-30 05:00:00+00:00,0.06923025,No
5,2025-06-30 06:00:00+00:00,0.1835469,Yes
6,2025-06-30 07:00:00+00:00,0.132255,Yes
7,2025-06-30 08:00:00+00:00,0.07468725,No
8,2025-06-30 09:00:00+00:00,0.05126426,No
9,2025-06-30 10:00:00+00:00,0.035940282,No
10,2025-06-30 11:00:00+00:00,0.03761888,No
11,2025-06-30 12:00:00+00:00,0.040821258,No
12,2025-06-30 13:00:00+00:00,0.048352692,No
13,2025-06-30 14:00:00+00:00,0.050654445,No
14,2025-06-30 15:00:00+00:00,0.05069443,No
15,2025-06-30 16:00:00+00:00,0.046223555,No
16,2025-06-30 17:00:00+00:00,0.03483012,No
17,2025-06-30 18:00:00+00:00,0.008909561,No
18,2025-06-30 19:00:00+00:00,0.017034002,No
19,2025-06-30 20:00:00+00:00,0.01918829,No
20,2025-06-30 21:00:00+00:00,0.0012627074,No
21,2025-06-30 22:00:00+00:00,0.0108270785,No
22,2025-06-30 23:00:00+00:00,0.0035727539,No
23,2025-07-01 00:00:00+00:00,0.011839201,No
24,2025-07-01 01:00:00+00:00,0.0036055846,No
25,2025-07-01 02:00:00+00:00,0.0060660723,No
26,2025-07-01 03:00:00+00:00,0.007708559,No
27,2025-07-01 04:00:00+00:00,0.04310316,No
28,2025-07-01 05:00:00+00:00,0.062095884,No
29,2025-07-01 06:00:00+00:00,0.048495,No
30,2025-07-01 07:00:00+00:00,0.061001036,No
31,2025-07-01 08:00:00+00:00,0.037395556,No
32,2025-07-01 09:00:00+00:00,0.052484065,No
33,2025-07-01 10:00:00+00:00,0.058479715,No
34,2025-07-01 11:00:00+00:00,0.020179307,No
35,2025-07-01 12:00:00+00:00,0.029372783,No
36,2025-07-01 13:00:00+00:00,0.039607096,No
37,2025-07-01 14:00:00+00:00,0.04479113,No
38,2025-07-01 15:00:00+00:00,0.063594565,No
39,2025-07-01 16:00:00+00:00,0.08558791,No
