,timestamp,error,anomaly
0,2025-06-30 01:00:00+00:00,0.018540408,No
1,2025-06-30 02:00:00+00:00,0.0073422636,No
2,2025-06-30 03:00:00+00:00,0.005501674,No
3,2025-06-30 04:00:00+00:00,0.021640291,No
4,2025-06-30 05:00:00+00:00,0.01663264,No
5,2025-06-30 06:00:00+00:00,0.046563387,No
6,2025-06-30 07:00:00+00:00,0.058529582,No
7,2025-06-30 08:00:00+00:00,0.037592694,No
8,2025-06-30 09:00:00+00:00,0.035793275,No
9,2025-06-30 10:00:00+00:00,0.023017641,No
10,2025-06-30 11:00:00+00:00,0.020045472,No
11,2025-06-30 12:00:00+00:00,0.020418622,No
12,2025-06-30 13:00:00+00:00,0.027985087,No
13,2025-06-30 14:00:00+00:00,0.034981765,No
14,2025-06-30 15:00:00+00:00,0.041936457,No
15,2025-06-30 16:00:00+00:00,0.05484217,No
16,2025-06-30 17:00:00+00:00,0.037364267,No
17,2025-06-30 18:00:00+00:00,0.023593366,No
18,2025-06-30 19:00:00+00:00,0.02718778,No
19,2025-06-30 20:00:00+00:00,0.0023129513,No
20,2025-06-30 21:00:00+00:00,0.0025265946,No
21,2025-06-30 22:00:00+00:00,0.0024333855,No
22,2025-06-30 23:00:00+00:00,0.0038841185,No
23,2025-07-01 00:00:00+00:00,0.0034954455,No
24,2025-07-01 01:00:00+00:00,0.0035745215,No
25,2025-07-01 02:00:00+00:00,0.0035104568,No
26,2025-07-01 03:00:00+00:00,0.0029509987,No
27,2025-07-01 04:00:00+00:00,0.006245969,No
28,2025-07-01 05:00:00+00:00,0.008446892,No
29,2025-07-01 06:00:00+00:00,0.014905691,No
30,2025-07-01 07:00:00+00:00,0.010748375,No
31,2025-07-01 08:00:00+00:00,0.015201461,No
32,2025-07-01 09:00:00+00:00,0.022153482,No
33,2025-07-01 10:00:00+00:00,0.02802977,No
34,2025-07-01 11:00:00+00:00,0.025744736,No
35,2025-07-01 12:00:00+00:00,0.016913574,No
36,2025-07-01 13:00:00+00:00,0.017448466,No
37,2025-07-01 14:00:00+00:00,0.033843532,No
38,2025-07-01 15:00:00+00:00,0.057275247,No
39,2025-07-01 16:00:00+00:00,0.049407005,No
40,2025-07-01 17:00:00+00:00,0.0075555034,No
41,2025-07-01 18:00:00+00:00,0.026817167,No
42,2025-07-01 19:00:00+00:00,0.032824803,No
43,2025-07-01 20:00:00+00:00,0.00856969,No
44,2025-07-01 21:00:00+00:00,0.0024754193,No
45,2025-07-01 22:00:00+00:00,0.0025813838,No
46,2025-07-01 23:00:00+00:00,0.002973146,No
47,2025-07-02 00:00:00+00:00,0.0044042557,No
48,2025-07-02 01:00:00+00:00,0.004955845,No
49,2025-07-02 02:00:00+00:00,0.007467797,No
50,2025-07-02 03:00:00+00:00,0.00855321,No
51,2025-07-02 04:00:00+00:00,0.008518604,No
52,2025-07-02 05:00:00+00:00,0.0057362146,No
53,2025-07-02 06:00:00+00:00,0.014147119,No
54,2025-07-02 07:00:00+00:00,0.013460814,No
55,2025-07-02 08:00:00+00:00,0.02066571,No
56,2025-07-02 09:00:00+00:00,0.024895469,No
57,2025-07-02 10:00:00+00:00,0.023440318,No
58,2025-07-02 11:00:00+00:00,0.01609461,No
59,2025-07-02 12:00:00+00:00,0.010475248,No
60,2025-07-02 13:00:00+00:00,0.024674455,No
61,2025-07-02 14:00:00+00:00,0.035655342,No
62,2025-07-02 15:00:00+00:00,0.04860953,No
63,2025-07-02 16:00:00+00:00,0.11235872,Yes
64,2025-07-02 17:00:00+00:00,0.02023906,No
65,2025-07-02 18:00:00+00:00,0.029687425,No
66,2025-07-02 19:00:00+00:00,0.034577113,No
67,2025-07-02 20:00:00+00:00,0.010729103,No
68,2025-07-02 21:00:00+00:00,0.0048843133,No
69,2025-07-02 22:00:00+00:00,0.0047440133,No
70,2025-07-02 23:00:00+00:00,0.0061091366,No
71,2025-07-03 00:00:00+00:00,0.018388556,No
72,2025-07-03 01:00:00+00:00,0.003628351,No
73,2025-07-03 02:00:00+00:00,0.0068979594,No
74,2025-07-03 03:00:00+00:00,0.0111071495,No
75,2025-07-03 04:00:00+00:00,0.008329131,No
76,2025-07-03 05:00:00+00:00,0.004389799,No
77,2025-07-03 06:00:00+00:00,0.008430044,No
78,2025-07-03 07:00:00+00:00,0.021077827,No
79,2025-07-03 08:00:00+00:00,0.015669014,No
80,2025-07-03 09:00:00+00:00,0.057365496,No
81,2025-07-03 10:00:00+00:00,0.020548053,No
82,2025-07-03 11:00:00+00:00,0.04220885,No
83,2025-07-03 12:00:00+00:00,0.035118617,No
84,2025-07-03 13:00:00+00:00,0.047173157,No
85,2025-07-03 14:00:00+00:00,0.12263858,Yes
86,2025-07-03 15:00:00+00:00,0.13929598,Yes
87,2025-07-03 16:00:00+00:00,0.078812264,No
88,2025-07-03 17:00:00+00:00,0.039325293,No
89,2025-07-03 18:00:00+00:00,0.02504462,No
90,2025-07-03 19:00:00+00:00,0.03213142,No
91,2025-07-03 20:00:00+00:00,0.021774635,No
92,2025-07-03 21:00:00+00:00,0.012209496,No
93,2025-07-03 22:00:00+00:00,0.004040524,No
94,2025-07-03 23:00:00+00:00,0.0067842784,No
95,2025-07-04 00:00:00+00:00,0.01810175,No
96,2025-07-04 01:00:00+00:00,0.005600788,No
97,2025-07-04 02:00:00+00:00,0.010451482,No
98,2025-07-04 03:00:00+00:00,0.011776573,No
99,2025-07-04 04:00:00+00:00,0.0059282407,No
100,2025-07-04 05:00:00+00:00,0.005022551,No
101,2025-07-04 06:00:00+00:00,0.007954132,No
102,2025-07-04 07:00:00+00:00,0.022912629,No
103,2025-07-04 08:00:00+00:00,0.04251801,No
104,2025-07-04 09:00:00+00:00,0.04365721,No
105,2025-07-04 10:00:00+00:00,0.037141692,No
106,2025-07-04 11:00:00+00:00,0.055946756,No
107,2025-07-04 12:00:00+00:00,0.062455516,No
108,2025-07-04 13:00:00+00:00,0.030449145,No
109,2025-07-04 14:00:00+00:00,0.048099607,No
110,2025-07-04 15:00:00+00:00,0.092786305,Yes
111,2025-07-04 16:00:00+00:00,0.067026,No
112,2025-07-04 17:00:00+00:00,0.03328897,No
113,2025-07-04 18:00:00+00:00,0.011583957,No
114,2025-07-04 19:00:00+00:00,0.03181584,No
115,2025-07-04 20:00:00+00:00,0.017413229,No
116,2025-07-04 21:00:00+00:00,0.012218584,No
117,2025-07-04 22:00:00+00:00,0.0016699765,No
118,2025-07-04 23:00:00+00:00,0.0025181866,No
119,2025-07-05 00:00:00+00:00,0.0042421236,No
120,2025-07-05 01:00:00+00:00,0.0055147144,No
121,2025-07-05 02:00:00+00:00,0.005692231,No
122,2025-07-05 03:00:00+00:00,0.008780542,No
123,2025-07-05 04:00:00+00:00,0.009456138,No
124,2025-07-05 05:00:00+00:00,0.008683964,No
125,2025-07-05 06:00:00+00:00,0.023136968,No
126,2025-07-05 07:00:00+00:00,0.03127143,No
127,2025-07-05 08:00:00+00:00,0.09988856,Yes
128,2025-07-05 09:00:00+00:00,0.060516786,No
129,2025-07-05 10:00:00+00:00,0.0745182,No
130,2025-07-05 11:00:00+00:00,0.022377824,No
131,2025-07-05 12:00:00+00:00,0.018995617,No
132,2025-07-05 13:00:00+00:00,0.05831245,No
133,2025-07-05 14:00:00+00:00,0.04486542,No
134,2025-07-05 15:00:00+00:00,0.053479955,No
135,2025-07-05 16:00:00+00:00,0.04764448,No
136,2025-07-05 17:00:00+00:00,0.08756747,Yes
137,2025-07-05 18:00:00+00:00,0.010396644,No
138,2025-07-05 19:00:00+00:00,0.017489305,No
139,2025-07-05 20:00:00+00:00,0.017978383,No
140,2025-07-05 21:00:00+00:00,0.021362722,No
141,2025-07-05 22:00:00+00:00,0.026245408,No
142,2025-07-05 23:00:00+00:00,0.006346836,No
143,2025-07-06 00:00:00+00:00,0.0065976526,No
144,2025-07-06 01:00:00+00:00,0.007336352,No
145,2025-07-06 02:00:00+00:00,0.009760611,No
146,2025-07-06 03:00:00+00:00,0.008703258,No
147,2025-07-06 04:00:00+00:00,0.0066651013,No
148,2025-07-06 05:00:00+00:00,0.011375197,No
149,2025-07-06 06:00:00+00:00,0.020519285,No
150,2025-07-06 07:00:00+00:00,0.050622832,No
151,2025-07-06 08:00:00+00:00,0.1388876,Yes
152,2025-07-06 09:00:00+00:00,0.14034231,Yes
153,2025-07-06 10:00:00+00:00,0.07775121,No
154,2025-07-06 11:00:00+00:00,0.027691508,No
155,2025-07-06 12:00:00+00:00,0.07823353,No
156,2025-07-06 13:00:00+00:00,0.052860245,No
157,2025-07-06 14:00:00+00:00,0.08133372,No
158,2025-07-06 15:00:00+00:00,0.08194537,No
159,2025-07-06 16:00:00+00:00,0.04965346,No
160,2025-07-06 17:00:00+00:00,0.042314887,No
161,2025-07-06 18:00:00+00:00,0.01316689,No
162,2025-07-06 19:00:00+00:00,0.013020982,No
163,2025-07-06 20:00:00+00:00,0.016930016,No
164,2025-07-06 21:00:00+00:00,0.010203973,No
165,2025-07-06 22:00:00+00:00,0.004720709,No
166,2025-07-06 23:00:00+00:00,0.0038877372,No
167,2025-07-07 00:00:00+00:00,0.003752254,No
168,2025-07-07 01:00:00+00:00,0.0059326296,No
169,2025-07-07 02:00:00+00:00,0.004470459,No
170,2025-07-07 03:00:00+00:00,0.0039079012,No
171,2025-07-07 04:00:00+00:00,0.0069351383,No
172,2025-07-07 05:00:00+00:00,0.004475833,No
173,2025-07-07 06:00:00+00:00,0.013059373,No
174,2025-07-07 07:00:00+00:00,0.03855116,No
175,2025-07-07 08:00:00+00:00,0.035411377,No
176,2025-07-07 09:00:00+00:00,0.031532604,No
177,2025-07-07 10:00:00+00:00,0.02845628,No
178,2025-07-07 11:00:00+00:00,0.016117236,No
179,2025-07-07 12:00:00+00:00,0.045531835,No
180,2025-07-07 13:00:00+00:00,0.027950747,No
181,2025-07-07 14:00:00+00:00,0.029135408,No
182,2025-07-07 15:00:00+00:00,0.05016474,No
183,2025-07-07 16:00:00+00:00,0.037006468,No
184,2025-07-07 17:00:00+00:00,0.011000282,No
185,2025-07-07 18:00:00+00:00,0.0072734705,No
186,2025-07-07 19:00:00+00:00,0.0040977704,No
187,2025-07-07 20:00:00+00:00,0.0019350089,No
188,2025-07-07 21:00:00+00:00,0.0040975376,No
