,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,injected_value,anomaly
335,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 03:00:00+02:00,21.0,17.1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,21.0,0.0
336,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 04:00:00+02:00,28.0,22.3625,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0
337,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 05:00:00+02:00,47.0,19.92,0,0.9659258262890684,0.2588190451025207,0.0,1.0,47.0,0.0
338,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 06:00:00+02:00,114.0,22.3275,0,1.0,6.123233995736766e-17,0.0,1.0,114.0,0.0
339,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 07:00:00+02:00,239.0,17.4025,0,0.9659258262890684,-0.2588190451025206,0.0,1.0,239.0,0.0
340,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 08:00:00+02:00,343.0,19.30333333333333,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,343.0,0.0
341,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 09:00:00+02:00,427.0,21.3725,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,427.0,0.0
342,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 10:00:00+02:00,464.0,19.594583333333333,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,464.0,0.0
343,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 11:00:00+02:00,502.0,17.816666666666666,0,0.258819045102521,-0.9659258262890682,0.0,1.0,502.0,0.0
344,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 12:00:00+02:00,483.0,18.416666666666668,0,1.2246467991473532e-16,-1.0,0.0,1.0,483.0,0.0
