name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,iso_anomaly
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 06:00:00+02:00,114.0,22.3275,0,1.0,6.123233995736766e-17,0.0,1.0,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-06-30 07:00:00+02:00,239.0,17.4025,0,0.9659258262890684,-0.2588190451025206,0.0,1.0,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-04 10:00:00+02:00,737.0,22.09,4,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-04 18:00:00+02:00,585.0,19.8225,4,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-05 10:00:00+02:00,0.0,0.0,5,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-05 12:00:00+02:00,977.0,23.2525,5,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-05 13:00:00+02:00,772.0,22.28,5,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-05 14:00:00+02:00,790.0,20.635,5,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 11:00:00+02:00,675.0,19.605,6,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 07:00:00+02:00,160.0,17.45,0,0.9659258262890684,-0.2588190451025206,0.0,1.0,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-10 12:00:00+02:00,618.0,18.1975,3,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-10 15:00:00+02:00,646.0,21.405,3,-0.7071067811865471,-0.7071067811865479,0.4338837391175582,-0.900968867902419,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-11 10:00:00+02:00,737.0,22.09,4,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-11 18:00:00+02:00,585.0,19.8225,4,-1.0,-1.8369701987210294e-16,-0.433883739117558,-0.9009688679024191,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-12 10:00:00+02:00,0.0,0.0,5,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-12 15:00:00+02:00,698.0,19.673333333333336,5,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1
Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-13 11:00:00+02:00,675.0,19.605,6,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1
